index,provider_number,npi,name,address,city,state,state_name,county_me,zip_code,latitude,longitude,phone_quality,year_facility,state_code,county_code,tract_code,block_code,geo_msa_name,geo_msa_code,distance_km,radius_count,geo_medage,geo_malemedage,geo_femalemedage,geo_totalpop,geo_malepop,geo_malepop_percent,geo_femalepop,geo_femalepop_percent,geo_whitepop,geo_whitepop_percent,geo_blackpop,geo_blackpop_percent,geo_nativeamericanpop,geo_nativeamericanpop_percent,geo_asianpop,geo_asianpop_percent,geo_latinopop,geo_latinopop_percent,b01003_001e_county,b02015_002e_county,b02015_007e_county,b02015_010e_county,b02015_012e_county,b02015_022e_county,b05001_002e_county,b09001_001e_county,b11001_001e_county,b11012_002e_county,b14001_001e_county,b14007f_017e_county,b14007f_018e_county,b17001_002e_county,b17001b_002e_county,b17001d_002e_county,b17001h_002e_county,b19013_001e_county,b19013a_001e_county,b19013b_001e_county,b19013c_001e_county,b19013d_001e_county,b19013i_001e_county,b19051_001e_county,b19083_001e_county,b19101_001e_county,b19101a_001e_county,b19101b_001e_county,b19101d_001e_county,b19101i_001e_county,b19119_001e_county,b23006_001e_county,b24114_027e_county,b24114_140e_county,b24114_203e_county,b27001_001e_county,b27006_001e_county,b27007_001e_county,b27017_001e_county,b27018_001e_county,b28011_001e_county,medical_managerspc_county,healthcare_socialworkerspc_count,emergency_medicinephysicianspc_c,b01003_001e_state,b02015_002e_state,b02015_007e_state,b02015_010e_state,b02015_012e_state,b02015_022e_state,b05001_002e_state,b09001_001e_state,b11001_001e_state,b11012_002e_state,b14001_001e_state,b14007f_017e_state,b14007f_018e_state,b17001_002e_state,b17001b_002e_state,b17001d_002e_state,b17001h_002e_state,b19013_001e_state,b19013a_001e_state,b19013b_001e_state,b19013c_001e_state,b19013d_001e_state,b19013i_001e_state,b19051_001e_state,b19083_001e_state,b19101_001e_state,b19101a_001e_state,b19101b_001e_state,b19101d_001e_state,b19101i_001e_state,b19119_001e_state,b23006_001e_state,b24114_027e_state,b24114_140e_state,b24114_203e_state,b27001_001e_state,b27006_001e_state,b27007_001e_state,b27017_001e_state,b27018_001e_state,b28011_001e_state,medical_managerspc_state,healthcare_socialworkerspc_state,emergency_medicinephysicianspc_s,endoscopy,cataract,colonoscopy_count,colonoscopy_performance,colonoscopy_rate,normothermia,anterior_vitrectomy,professional_care,adequate_care,poor_care,care_score,strong_communication,adequate_communication,poor_communication,communication_score,excellent_rating,fair_rating,poor_rating,definite_recommendation,probable_recommendation,no_recommendation,recommendation_score,sample_count,completed_surveys,response_rate,survey_start,survey_end
240,55C0001028,1245327493,The Surgery Center Of Alta Bates Summit Medical Center Llc,3875 Telegraph Ave,Oakland,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,99.36,NA,,,,,,,,,,,,,,,,,,,,
241,05C0002100,1932598760,Spine And Sports Surgical Center Llc,1120 W La Veta Ave Ste 330,Orange,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,99.42,NA,,,,,,,,,,,,,,,,,,,,
242,05C0001991,1700162054,Solar Surgical Center Llc,1901 Solar Dr Suite 100,Oxnard,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,100,0.66,,,,,,,,,,,,,,,,,,,,
243,05C0001525,1255436028,Pasadena Surgery Center Inc A Medical Corporation,1044 S Fair Oaks Ave #110,Pasadena,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
244,05C0005206,1881015584,Ace Endoscopy And Surgery Center,2006 North Riverside Avenue Suite A,Rialto,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,168,No Different Than the National Rate,12.7,NA,NA,,,,,,,,,,,,,,,,,,,,
245,05C0002014,1497011308,Riverwalk Surgery Center,"4244 Riverwalk Parkway, Suite 210",Riverside,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,57,No Different Than the National Rate,12.1,NA,NA,,,,,,,,,,,,,,,,,,,,
246,05C0002110,1497130660,Nivano Ambulatory Surgery Center Lp,"77 Cadillac Drive, Suite 130",Sacramento,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,94,No Different Than the National Rate,12,NA,NA,,,,,,,,,,,,,,,,,,,,
247,05C0002079,1164840088,San Carlos Ambulatory Surgery Center,301 Industrial Road Suite 1Se,San Carlos,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,NA,873,No Different Than the National Rate,11.3,100,NA,,,,,,,,,,,,,,,,,,,,
248,05C0002098,1740692730,Innovative Surgery Center Llc,"6610 Flanders Drive, Suite 100",San Diego,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,05C0001953,1316462377,Ucsd Surgical Center Of San Diego Llc,"4910 Directors Place, Suite 100",San Diego,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.37,NA,132,No Different Than the National Rate,12.1,100,NA,,,,,,,,,,,,,,,,,,,,
250,05C0001949,1154554160,Cabrillo Surgery Center Inc,"7695 Cardinal Court, Suite 220",San Diego,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,05C0001667,1790721769,San Francisco Surgery Center,"450 Sutter Street, Suite 500",San Francisco,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,05C0002048,1134385701,Vista Surgery Center,"450 Sutter Street, Suite 2632",San Francisco,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,05C0002011,1285907188,Trinity Surgical Solution Inc,"207 South Santa Anita, Suite G-16",San Gabriel,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,05C0001920,1356572465,Orchard Creek Surgery Center,2420 Samaritan Drive,San Jose,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,05C0002045,1043654486,Surgery Center Of San Jose,"2581 Samaritan Drive, Suite 308",San Jose,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,
256,05C0002113,1770951915,"Tri-County Vascular Care, Llc","393 Blossom Hill Road, Suite  365",San Jose,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,05C0002157,1750789814,Trinity Surgery Center Llc,1610 Blossom Hill Rd Suite 10,San Jose,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,
258,40C0001004,1760437248,Eye Surgery Specialist Pr Llc,809 Hipodromo St Pda 20 Santurce,San Juan,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,40C0001108,1669577342,Centro De Cirugia Para Manejo De Dolor,"Torre San Francisco, De Diego 369",San Juan,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,40C0001022,1407813181,De Diego Ambulatory Clinic Corp,De Diego Ave 150 Cond San Juan Health Centre,San Juan,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,05C0001636,1821019738,Santa Barbara Endoscopy Center Llc,25 W Micheltorena St,Santa Barbara,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,1936,No Different Than the National Rate,11.8,NA,NA,,,,,,,,,,,,,,,,,,,,
262,05C0002055,1144648015,Sansum Clinic Dba Foothill Surgery Center At Sansum Clinic,4151 Foothill Road,Santa Barbara,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,Number of Cases Too Small,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
263,05C0002049,1588092605,Center For Specialized Surgery,2927 De La Vina Street,Santa Barbara,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,96.66,NA,,,,,,,,,,,,,,,,,,,,
264,05C0002084,1093136384,Surgical Arts Surgical Center,"1722 State Street, Suite #202",Santa Barbara,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,05C0001962,1194913103,Laservue Eye Center,3540 Mendocino Avenue #200,Santa Rosa,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,05C0001941,1386966935,Norcal Specialty Surgery Center,730 Bennett Valley Road,Santa Rosa,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,05C0002041,1548609472,Kinetix Sugery Center Inc,5651 Sepulveda Blvd Suite 101,Sherman Oaks,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,05C0001973,1396054599,Beverly Oaks Physicians Surgical Center Llc,"4910 Van Nuys Boulevard, Suite 308",Sherman Oaks,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,Number of Cases Too Small,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
269,05C0001986,1538451760,Brand Tarzana Surgical Institute Inc,"5620 Wilbur Avenue, Suite 305",Tarzana,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,Number of Cases Too Small,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
270,05C0001296,1366422479,Valley Endoscopy Center,397 North San Jacinto Street,Tarzana,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.98,NA,2454,No Different Than the National Rate,11.3,NA,NA,,,,,,,,,,,,,,,,,,,,
271,05C0002089,1356543656,"Avanguard Surgery Center, Llc","5620 Wilbur Avenue, Suite 207",Tarzana,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,05C0002097,1275951196,Temecula Ca United Surgery Center Lp Dba United Surgery Center Temecula,"31469 Rancho Pueblo Road, Ste 100",Temecula,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,NA,625,No Different Than the National Rate,11.4,100,NA,,,,,,,,,,,,,,,,,,,,
273,05C0002021,1184978637,Inland Valley Surgery Center,"41900 Winchester Road, Suite 102",Temecula,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,05C0001935,1831428861,Oak Tree Surgical Center Llc,"2230 Lynn Road, Suite #320",Thousand Oaks,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47,NA,851,No Different Than the National Rate,11.9,NA,NA,,,,,,,,,,,,,,,,,,,,
275,05C0002087,1003216276,"Rolling Oaks Surgery Center, Llc","415 E Rolling Oaks Drive, Suite #115",Thousand Oaks,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,05C0001977,1508163767,Specialty Surgical Institute,"425 Haaland Drive, Suite #102",Thousand Oaks,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,05C0002114,1679949234,Center For Advanced Plastic Surgery Inc,947 East Thousand Oaks Blvd,Thousand Oaks,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,
278,05C0001901,1801032750,Conejo Valley Surgery Center Llc,311 Haigh Rd Ste 100,Thousand Oaks,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,99,No Different Than the National Rate,11.6,NA,NA,,,,,,,,,,,,,,,,,,,,
279,05C0002150,1912362955,St Charles Surgical Center,550 Saint Charles Dr Suite 101,Thousand Oaks,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
280,05C0002112,1134535743,Cpi Surgery Center,1406 Crenshaw Blvd,Torrance,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,05C0002116,1538569207,"Cutting Edge Surgery Center, Llc","23456 Hawthorne Blvd, Suite 130",Torrance,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,05C0002076,1548674138,Sas Surgery Center,"23456 Hawthorne Blvd, Suite 110",Torrance,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,05C0002034,1982965612,"Skypark Surgery Center, Llc","23441 Madison Street, Suite 115",Torrance,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,05C0002019,1699077842,Allied Surgery Center,"13132 Newport Ave, Suite 210",Tustin,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,05C0001831,1003015843,The Surgery Center At Northbay Vaca Valley,1006 Nut Tree Road,Vacaville,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.33,NA,918,No Different Than the National Rate,13.4,NA,NA,,,,,,,,,,,,,,,,,,,,
286,05C0001943,1609103399,Tourney Plaza Surgical Center,"27420 Tourney Road, Suite 160",Valencia,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,221,No Different Than the National Rate,11.2,NA,NA,,,,,,,,,,,,,,,,,,,,
287,05C0001164,1497746747,Physicians Surgery Center,12567 Hesperia Road,Victorville,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,NA,75,No Different Than the National Rate,12,88.92,NA,,,,,,,,,,,,,,,,,,,,
288,05C0001988,1316231020,Desert View Endoscopy Center Llc,"12595 Hesperia Road, Suite 100",Victorville,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.26,NA,924,No Different Than the National Rate,12.5,NA,NA,,,,,,,,,,,,,,,,,,,,
289,05C0002024,1336496140,A & A Surgery Center,12241 Industrial Blvd Suite 101,Victorville,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,05C0001992,1124333497,"Barnes Dental Surgery Center, Inc","2626 South Monney Boulevard, Suite C",Visalia,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,05C0002102,1609274505,Bay Area Surgical Specialist Services Llc,460 North Widget Lane,Walnut Creek,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,05C0002062,1497195440,"California Surgery Center, Inc","7325 Medical Center Drive, Suite 103",West Hills,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,05C0001942,1396077657,Hills Surgery Center Inc,"7320 Woodlake Avenue, Suite 300",West Hills,CA,California,,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,05C0002067,1912322595,Premier Specialty Surgical Center Llc,"7230 Medical Center Drive, Suite 502",West Hills,CA,California,,,,,,2019,NA,NA,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,
