index,provider_number,npi,name,address,city,state,state_name,county_name,zip_code,latitude,longitude,endoscopy,cataract,colonoscopy_count,colonoscopy_performance,colonoscopy_rate,normothermia,anterior_vitrectomy,state_code,county_fips,tract_code,block_code,geo_msa_name,geo_msa_code,geo_medage,geo_malemedage,geo_femalemedage,geo_totalpop,geo_malepop,geo_malepop_percent,geo_femalepop,geo_femalepop_percent,geo_whitepop,geo_whitepop_percent,geo_blackpop,geo_blackpop_percent,geo_nativeamericanpop,geo_nativeamericanpop_percent,geo_asianpop,geo_asianpop_percent,geo_latinopop,geo_latinopop_percent,census_pop_2010,uic_code,description,urban_rural,year_facility
330,05C0001009,1306993464,"Pacific Hills Surgery Center, Llc","24022 Calle De La Plata, #180",Laguna Hills,CA,California,Orange County,92653,33.61,-117.71,NA,NA,NA,NA,NA,100,0.55,6,6059,62647,1014,"Los Angeles-Long Beach-Anaheim, CA",31080,37.2,28.9,43.5,2250,1105,0.491,1145,0.509,903,0.582,170,0.11,0,0,478,0.308,699,0.311,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
331,05C0001510,1104822808,Agmg Endoscopy Center,"1211 West La Palma, Suite 301",Anaheim,CA,California,Orange County,92801,33.85,-117.93,75,NA,257,No Different Than the NAtioNAl Rate,11.6,NA,NA,6,6059,86601,1000,"Los Angeles-Long Beach-Anaheim, CA",31080,29.3,28.9,29.5,1598,840,0.526,758,0.474,156,0.876,6,0.034,0,0,16,0.09,1420,0.889,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
332,05C0002065,1437592169,Reconstructive Surgery Center Of Newport Beach Inc,"180 Newport Center Drive, Suite 150",Newport Beach,CA,California,Orange County,92660,33.61,-117.88,NA,NA,NA,NA,NA,95.24,NA,6,6059,63008,2015,"Los Angeles-Long Beach-Anaheim, CA",31080,63.6,68,62.3,1093,424,0.388,669,0.612,954,0.886,0,0,0,0,123,0.114,16,0.015,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
333,05C0002174,1306369566,Doctors Surgery Center Of Westminster,8331 Westminster Blvd Suite B,Westminster,CA,California,Orange County,92683,33.76,-117.98,87.5,NA,1004,No Different Than the NAtioNAl Rate,10.9,NA,NA,6,6059,99801,2008,"Los Angeles-Long Beach-Anaheim, CA",31080,35.4,33.2,42.4,3050,1423,0.467,1627,0.533,289,0.156,0,0,0,0,1542,0.835,1203,0.394,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
334,05C0001905,1265676993,Skin Cancer And Reconstructive Surgery Center Llc,"180 Newport Center Drive, Suite 157",Newport Beach,CA,California,Orange County,92660,33.61,-117.88,NA,NA,NA,NA,NA,93.65,NA,6,6059,63008,2006,"Los Angeles-Long Beach-Anaheim, CA",31080,63.6,68,62.3,1093,424,0.388,669,0.612,954,0.886,0,0,0,0,123,0.114,16,0.015,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
335,05C0002010,1023365913,Pacific Surgery Ctr,"1640 Newport Blvd, Suite 100",Costa Mesa,CA,California,Orange County,92627,33.63,-117.92,NA,NA,88,No Different Than the NAtioNAl Rate,11.6,NA,NA,6,6059,63301,3004,"Los Angeles-Long Beach-Anaheim, CA",31080,32.9,36.5,31,757,336,0.444,421,0.556,552,0.925,10,0.017,0,0,15,0.025,160,0.211,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
336,05C0001272,1609989946,"Gastrodiagnostic, A Medical Gr","1140 West La Veta, Suite 550",Orange,CA,California,Orange County,92868,33.78,-117.87,56,NA,977,No Different Than the NAtioNAl Rate,12.3,NA,NA,6,6059,76001,4015,"Los Angeles-Long Beach-Anaheim, CA",31080,46.2,47.2,46.1,887,465,0.524,422,0.476,396,0.904,7,0.016,0,0,35,0.08,449,0.506,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
337,05C0001178,1033177373,La Veta Surgical Center,"725 W La Veta, #270",Orange,CA,California,Orange County,92868,33.78,-117.86,80.95,NA,893,No Different Than the NAtioNAl Rate,12.3,97.21,0.1,6,6059,76000,1010,"Los Angeles-Long Beach-Anaheim, CA",31080,35.8,42.1,28.9,886,351,0.396,535,0.604,332,0.622,15,0.028,0,0,173,0.324,352,0.397,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
338,05C0001860,1205076593,Talbert Surgical Associates,"7677 Center Avenue, Suite 104",Huntington Beach,CA,California,Orange County,92647,33.74,-118,NA,NA,130,No Different Than the NAtioNAl Rate,11.5,NA,NA,6,6059,99406,1015,"Los Angeles-Long Beach-Anaheim, CA",31080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
339,05C0001837,1962695122,North Orange County Surgery Center,"1741 West Romneya Drive, Suite F",Anaheim,CA,California,Orange County,92801,33.85,-117.94,98.06,NA,546,No Different Than the NAtioNAl Rate,11.1,NA,NA,6,6059,86601,5002,"Los Angeles-Long Beach-Anaheim, CA",31080,29.6,29,33.2,1460,714,0.489,746,0.511,22,0.096,0,0,0,0,208,0.904,1230,0.842,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
340,05C0001885,1033368378,Mission Endoscopy Center Inc,"26821 Crown Valley Parkway, #200",Mission Viejo,CA,California,Orange County,92691,33.56,-117.67,NA,NA,394,No Different Than the NAtioNAl Rate,11.8,NA,NA,6,6059,32022,2004,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
341,05C0002147,1447608088,Hoag Endoscopy Center Irvine,16405 Sand Canyon Ave Suite 110,Irvine,CA,California,Orange County,92618,33.66,-117.78,100,NA,1005,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,6059,52532,2000,"Los Angeles-Long Beach-Anaheim, CA",31080,34.5,34.3,35.9,6688,3636,0.544,3052,0.456,1980,0.315,0,0,0,0,4065,0.647,410,0.061,3010232,1,Large-in a metro area with at least 1 million residents or more,0,2019
342,05C0001200,1306881164,Sutter Auburn Surgery Center,"3123 Professional Drive, Suite 100",Auburn,CA,California,Placer County,95603,38.94,-121.1,NA,NA,124,No Different Than the NAtioNAl Rate,12.2,NA,NA,6,6061,21501,4000,"Sacramento-Roseville-Folsom, CA",40900,39.3,39,39.8,4065,2153,0.53,1912,0.47,3043,0.867,29,0.008,37,0.011,238,0.068,554,0.136,348432,1,Large-in a metro area with at least 1 million residents or more,0,2019
343,05C0001608,1467451096,South Placer Surgery Center,8723 Sierra College Blvd,Granite Bay,CA,California,Placer County,95661,38.74,-121.23,NA,NA,NA,NA,NA,100,0.7,6,6061,20711,2003,"Sacramento-Roseville-Folsom, CA",NA,33,34.6,30.9,1385,547,0.395,838,0.605,1207,0.894,33,0.024,0,0,67,0.05,35,0.025,348432,1,Large-in a metro area with at least 1 million residents or more,0,2019
344,05C0001712,1376592014,Sutter Roseville Endoscopy Center,"4 Medical Plaza Drive, Suite 210",Roseville,CA,California,Placer County,95661,38.77,-121.25,92.5,NA,4161,No Different Than the NAtioNAl Rate,10.8,NA,NA,6,6061,22400,2014,"Sacramento-Roseville-Folsom, CA",40900,41.2,40.5,41.5,2574,1260,0.49,1314,0.51,1859,0.844,28,0.013,15,0.007,218,0.099,372,0.145,348432,1,Large-in a metro area with at least 1 million residents or more,0,2019
345,05C0001210,1952363368,Golden Triangle Surgicenter,"25405 Hancock Avenue, Suite 103",Murrieta,CA,California,Riverside County,92562,33.56,-117.19,NA,NA,148,No Different Than the NAtioNAl Rate,12,NA,NA,6,6065,43206,5005,"Riverside-San Bernardino-Ontario, CA",40140,29.5,32.2,26.6,2727,1227,0.45,1500,0.55,1120,0.511,122,0.056,27,0.012,606,0.277,536,0.197,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
346,05C0002161,1366857377,Advanced Endoscopy Center-Gastroenterology,25495 Medical Center Dr Suite,Murrieta,CA,California,Riverside County,92562,33.56,-117.18,NA,NA,109,No Different Than the NAtioNAl Rate,11.5,NA,NA,6,6065,43206,5001,"Riverside-San Bernardino-Ontario, CA",40140,29.5,32.2,26.6,2727,1227,0.45,1500,0.55,1120,0.511,122,0.056,27,0.012,606,0.277,536,0.197,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
347,05C0001225,1033282173,Temecula Valley Day Surgery & Pain Therapy Center,"25405 Hancock Ave, Suite 110",Murrieta,CA,California,Riverside County,92562,33.56,-117.19,NA,NA,73,No Different Than the NAtioNAl Rate,11.6,NA,NA,6,6065,43206,5005,"Riverside-San Bernardino-Ontario, CA",40140,29.5,32.2,26.6,2727,1227,0.45,1500,0.55,1120,0.511,122,0.056,27,0.012,606,0.277,536,0.197,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
348,05C0001080,1396709077,Riverside Medical Clinic Surgery Center,7160 Brockton Avenue--1St Floor,Riverside,CA,California,Riverside County,92506,33.94,-117.39,100,NA,727,No Different Than the NAtioNAl Rate,10.7,57.49,0,6,6065,31200,5021,"Riverside-San Bernardino-Ontario, CA",40140,34.2,34.1,36,1823,971,0.533,852,0.467,817,0.893,0,0,0,0,98,0.107,908,0.498,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
349,05C0001617,1124498357,Endoscopy Center Of The Inland,40404 California Oaks Road,Murrieta,CA,California,Riverside County,92562,33.58,-117.2,NA,NA,1260,No Different Than the NAtioNAl Rate,10.4,NA,NA,6,6065,43229,1000,"Riverside-San Bernardino-Ontario, CA",40140,72.4,70.8,73.4,1588,443,0.279,1145,0.721,1078,0.863,60,0.048,0,0,111,0.089,339,0.213,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
350,05C0001254,1982674065,Hemet Healthcare Surgicenter,301 North San Jacinto Avenue,Hemet,CA,California,Riverside County,92543,33.75,-116.96,NA,100,NA,NA,NA,NA,NA,6,6065,43401,1014,"Riverside-San Bernardino-Ontario, CA",40140,28.7,25.9,29.3,2555,1255,0.491,1300,0.509,793,0.756,194,0.185,54,0.051,0,0,1506,0.589,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
351,05C0001594,1588668503,Mirage Endoscopy Center L P,39935 Vista Del Sol,Rancho Mirage,CA,California,Riverside County,92270,33.76,-116.4,NA,NA,7018,Better Than the NAtioNAl Rate,9.5,NA,NA,6,6065,44918,3008,"Riverside-San Bernardino-Ontario, CA",40140,73.1,73.8,70.1,1795,774,0.431,1021,0.569,1490,0.917,19,0.012,10,0.006,80,0.049,171,0.095,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
352,05C0001818,1447472659,Brockton Surgery Center,6958 Brockton Avenue,Riverside,CA,California,Riverside County,92506,33.95,-117.4,NA,NA,600,No Different Than the NAtioNAl Rate,12.3,NA,NA,6,6065,31100,2014,"Riverside-San Bernardino-Ontario, CA",40140,24.4,26.1,18,1145,480,0.419,665,0.581,56,0.298,92,0.489,0,0,0,0,957,0.836,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
353,05C0001288,1982744231,Southland Endoscopy Center,"949 East Calhoun Place, Suite B",Hemet,CA,California,Riverside County,92543,33.75,-116.96,NA,NA,375,No Different Than the NAtioNAl Rate,11.2,NA,NA,6,6065,43401,1014,"Riverside-San Bernardino-Ontario, CA",40140,28.7,25.9,29.3,2555,1255,0.491,1300,0.509,793,0.756,194,0.185,54,0.051,0,0,1506,0.589,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
354,05C0001244,1053412189,Hemet Endoscopy Center,1003 East  Florida  Avenue  #104,Hemet,CA,California,Riverside County,92543,33.75,-116.96,NA,NA,536,No Different Than the NAtioNAl Rate,12.8,NA,NA,6,6065,43401,1047,"Riverside-San Bernardino-Ontario, CA",40140,28,25.8,28.8,2279,1007,0.442,1272,0.558,845,0.838,94,0.093,61,0.061,0,0,1271,0.558,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
355,05C0001897,1376794172,Highland Springs Surgery Center,"81 South Highland Springs Avenue, Suite 200",Beaumont,CA,California,Riverside County,92223,33.93,-116.95,98.55,NA,268,No Different Than the NAtioNAl Rate,12.5,98.61,1.42,6,6065,43818,2019,"Riverside-San Bernardino-Ontario, CA",40140,31.9,27.1,35,4567,2337,0.512,2230,0.488,964,0.422,467,0.204,9,0.004,772,0.338,2281,0.499,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
356,05C0001082,1083670970,"Glenwood Surgical Center, L P","8945 Magnolia Avenue, Suite 200",Riverside,CA,California,Riverside County,92503,33.93,-117.44,NA,NA,158,No Different Than the NAtioNAl Rate,11.7,NA,NA,6,6065,31501,3005,"Riverside-San Bernardino-Ontario, CA",40140,27.7,24.8,30,1702,760,0.447,942,0.553,446,0.761,20,0.034,0,0,53,0.09,1116,0.656,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
357,05C0001573,1922104710,The Oaks Surgery Center,40740 California Oaks Road,Murrieta,CA,California,Riverside County,92562,33.57,-117.2,NA,NA,NA,NA,NA,100,0,6,6065,43206,1004,"Riverside-San Bernardino-Ontario, CA",40140,28.3,25.3,29.6,2159,1045,0.484,1114,0.516,939,0.705,0,0,0,0,285,0.214,827,0.383,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
358,05C0002014,1497011308,Riverwalk Surgery Center,"4244 Riverwalk Parkway, Suite 210",Riverside,CA,California,Riverside County,92505,33.9,-117.49,NA,NA,57,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,6065,41406,3006,"Riverside-San Bernardino-Ontario, CA",40140,30.2,27.9,31.7,3663,1684,0.46,1979,0.54,1072,0.549,238,0.122,0,0,486,0.249,1711,0.467,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
359,05C0002007,1356616064,Corona Summit Surgery Center,2370 Anselmo Drive,Corona,CA,California,Riverside County,92879,33.89,-117.51,NA,NA,78,No Different Than the NAtioNAl Rate,12.4,NA,NA,6,6065,41412,1002,"Riverside-San Bernardino-Ontario, CA",40140,35.9,35.5,37.4,2867,1458,0.509,1409,0.491,374,0.324,293,0.254,0,0,487,0.422,1713,0.597,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
360,05C0001371,1811178981,Valley Endoscopy Center,397 North San Jacinto Street,Hemet,CA,California,Riverside County,92543,33.75,-116.96,NA,NA,34,No Different Than the NAtioNAl Rate,12.2,NA,NA,6,6065,43401,1013,"Riverside-San Bernardino-Ontario, CA",40140,28.7,25.9,29.3,2555,1255,0.491,1300,0.509,793,0.756,194,0.185,54,0.051,0,0,1506,0.589,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
361,05C0001713,1477527398,Temecula Valley Endoscopy Center,"25150 Hancock Avenue, Suite 208",Murrieta,CA,California,Riverside County,92562,33.57,-117.18,57.14,NA,913,No Different Than the NAtioNAl Rate,11.4,NA,NA,6,6065,43211,4000,"Riverside-San Bernardino-Ontario, CA",NA,25.1,29.2,24.5,1962,1019,0.519,943,0.481,764,0.65,126,0.107,46,0.039,202,0.172,786,0.401,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
362,05C0002097,1275951196,Temecula Ca United Surgery Center Lp Dba United Surgery Center Temecula,"31469 Rancho Pueblo Road, Ste 100",Temecula,CA,California,Riverside County,92592,33.48,-117.11,80,NA,625,No Different Than the NAtioNAl Rate,11.4,100,NA,6,6065,43222,2035,"Riverside-San Bernardino-Ontario, CA",40140,37,37,37.5,2534,1320,0.521,1214,0.479,1590,0.829,1,0.001,0,0,216,0.113,616,0.243,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
363,05C0001321,1821429978,El Mirador Surgical Center,"1180 North Indian Canyon Drive, Suite 110",Palm Springs,CA,California,Riverside County,92262,33.84,-116.55,61.02,NA,927,No Different Than the NAtioNAl Rate,11.4,98.38,1.21,6,6065,44606,3020,"Riverside-San Bernardino-Ontario, CA",NA,63.3,63,63.3,936,621,0.663,315,0.337,703,0.927,10,0.013,0,0,22,0.029,178,0.19,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
364,05C0001874,1154593481,Rancho Mirage Surgery Center,"35800 Bob Hope Drive, Suite 100",Rancho Mirage,CA,California,Riverside County,92270,33.79,-116.41,NA,NA,NA,NA,NA,95.67,NA,6,6065,44921,1050,"Riverside-San Bernardino-Ontario, CA",40140,64.4,63.3,66.3,2514,1321,0.525,1193,0.475,1933,0.809,21,0.009,20,0.008,342,0.143,125,0.05,2189641,1,Large-in a metro area with at least 1 million residents or more,0,2019
365,05C0001999,1972877264,Sutter Valley Medical Foundation,8200 Laguna Boulevard,Elk Grove,CA,California,Sacramento County,95758,38.42,-121.4,NA,NA,NA,NA,NA,100,NA,6,6067,9611,2000,"Sacramento-Roseville-Folsom, CA",40900,36.5,34.6,38,2607,1258,0.483,1349,0.517,947,0.442,425,0.199,1,0,635,0.297,466,0.179,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
366,05C0001033,1255309803,Greater Sacramento Surgery Center,"2288 Auburn Boulevard, #201",Sacramento,CA,California,Sacramento County,95821,38.63,-121.41,NA,NA,530,No Different Than the NAtioNAl Rate,11.4,NA,NA,6,6067,7413,3031,"Sacramento-Roseville-Folsom, CA",40900,26.8,31.8,24.7,1590,634,0.399,956,0.601,814,0.779,2,0.002,0,0,218,0.209,545,0.343,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
367,05C0001001,1164484572,Sutter River City Surgery Center,75 Scripps Dr,Sacramento,CA,California,Sacramento County,95825,38.57,-121.41,NA,NA,2044,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,6067,5403,1001,"Sacramento-Roseville-Folsom, CA",40900,65.4,62.7,67.2,1074,375,0.349,699,0.651,938,0.931,21,0.021,0,0,40,0.04,66,0.061,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
368,55C0001083,1730563610,Sacramento Midtown Endoscopy Center,"3941 J Street, Suite 460",Sacramento,CA,California,Sacramento County,95819,38.57,-121.45,NA,NA,1817,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,6067,1602,2011,"Sacramento-Roseville-Folsom, CA",40900,48.2,50.3,45.8,1393,574,0.412,819,0.588,1061,0.894,0,0,0,0,110,0.093,206,0.148,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
369,05C0002110,1497130660,Nivano Ambulatory Surgery Center Lp,"77 Cadillac Drive, Suite 130",Sacramento,CA,California,Sacramento County,95825,38.57,-121.42,NA,NA,94,No Different Than the NAtioNAl Rate,12,NA,NA,6,6067,5402,1012,"Sacramento-Roseville-Folsom, CA",40900,35.4,27.1,51.4,1189,457,0.384,732,0.616,723,0.752,37,0.039,0,0,118,0.123,228,0.192,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
370,05C0001604,1174597819,Procedure Center Of South Sacramento,"8120 Timberlake Drive, Suite 103",Sacramento,CA,California,Sacramento County,95823,38.46,-121.41,NA,NA,381,No Different Than the NAtioNAl Rate,12.3,NA,NA,6,6067,9320,1000,"Sacramento-Roseville-Folsom, CA",40900,41.3,39.3,45.8,1256,646,0.514,610,0.486,130,0.144,265,0.293,0,0,508,0.563,353,0.281,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
371,05C0001635,1114921541,Capitol City Surgery Center,"1800 Tribute Road, Suite 100",Sacramento,CA,California,Sacramento County,95815,38.6,-121.44,NA,NA,NA,NA,NA,NA,0.37,6,6067,5402,2007,"Sacramento-Roseville-Folsom, CA",40900,30.5,30.5,30.3,1386,695,0.501,691,0.499,600,0.656,56,0.061,9,0.01,229,0.25,471,0.34,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
372,05C0001534,1942278692,Folsom Surgery Center,"1651 Creekside Drive, Suite 100",Folsom,CA,California,Sacramento County,95630,38.67,-121.15,NA,NA,NA,NA,NA,100,0.38,6,6067,8506,1002,"Sacramento-Roseville-Folsom, CA",40900,61.7,50.4,68.3,707,251,0.355,456,0.645,400,0.694,39,0.068,0,0,53,0.092,131,0.185,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
373,05C0001481,1780689802,Pain Diagnostic And Treatment Center,"2805 J Street, Suite 200",Sacramento,CA,California,Sacramento County,95816,38.57,-121.47,NA,NA,NA,NA,NA,NA,NA,6,6067,1300,1004,"Sacramento-Roseville-Folsom, CA",40900,32.4,33.5,31.5,1172,603,0.515,569,0.485,763,0.799,49,0.051,12,0.013,87,0.091,217,0.185,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
374,05C0001548,1295897585,Folsom Sierra Endoscopy Center Lp,1671 Creekside Dr Ste 100,Folsom,CA,California,Sacramento County,95630,38.67,-121.15,NA,NA,1278,No Different Than the NAtioNAl Rate,10.5,NA,NA,6,6067,8506,1002,"Sacramento-Roseville-Folsom, CA",40900,61.7,50.4,68.3,707,251,0.355,456,0.645,400,0.694,39,0.068,0,0,53,0.092,131,0.185,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
375,05C0001236,1770541708,Healthsouth Surgery Center- Alhambra,1201 Alhambra Blvd,Sacramento,CA,California,Sacramento County,95816,38.57,-121.47,NA,NA,NA,NA,NA,100,NA,6,6067,1300,1004,"Sacramento-Roseville-Folsom, CA",40900,32.4,33.5,31.5,1172,603,0.515,569,0.485,763,0.799,49,0.051,12,0.013,87,0.091,217,0.185,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
376,05C0001548,1538664339,Folsom Endoscopy Center Llc Dba Folsom Sierra Endoscopy Center,1671 Creekside Dr Ste 100,Folsom,CA,California,Sacramento County,95630,38.67,-121.15,NA,NA,1256,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,6067,8506,1002,"Sacramento-Roseville-Folsom, CA",40900,61.7,50.4,68.3,707,251,0.355,456,0.645,400,0.694,39,0.068,0,0,53,0.092,131,0.185,1418788,1,Large-in a metro area with at least 1 million residents or more,0,2019
377,05C0002064,1881015584,Ace Endoscopy And Surgery Center,2006 North Riverside Ave Ste C,Rialto,CA,California,San Bernardino County,92376,34.14,-117.37,NA,NA,168,No Different Than the NAtioNAl Rate,12.7,NA,NA,6,6071,2706,2016,"Riverside-San Bernardino-Ontario, CA",40140,36.8,38.7,33.9,1644,747,0.454,897,0.546,202,0.219,625,0.677,0,0,25,0.027,721,0.439,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
378,05C0001489,1063422962,San Antonio Ambulatory Surgica,"901 San Bernardino Road, Suite 201",Upland,CA,California,San Bernardino County,91786,34.1,-117.64,NA,NA,604,No Different Than the NAtioNAl Rate,12.5,NA,NA,6,6071,901,1000,"Riverside-San Bernardino-Ontario, CA",40140,32.3,31.5,32.7,1779,918,0.516,861,0.484,627,0.736,57,0.067,0,0,90,0.106,927,0.521,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
379,05C0005206,1881015584,Ace Endoscopy And Surgery Center,2006 North Riverside Avenue Suite A,Rialto,CA,California,San Bernardino County,92376,34.14,-117.37,NA,NA,168,No Different Than the NAtioNAl Rate,12.7,NA,NA,6,6071,2706,2016,"Riverside-San Bernardino-Ontario, CA",40140,36.8,38.7,33.9,1644,747,0.454,897,0.546,202,0.219,625,0.677,0,0,25,0.027,721,0.439,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
380,05C0001584,1982975959,Benefit Surgery Center,"9674 Archibald Avenue, Suite 125",Rancho Cucamonga,CA,California,San Bernardino County,91764,34.08,-117.59,NA,NA,168,No Different Than the NAtioNAl Rate,12.2,NA,NA,6,6071,2111,1028,"Riverside-San Bernardino-Ontario, CA",40140,29.8,28.8,32,7460,3592,0.482,3868,0.518,2143,0.443,1456,0.301,56,0.012,938,0.194,2619,0.351,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
381,05C0001988,1316231020,Desert View Endoscopy Center Llc,"12595 Hesperia Road, Suite 100",Victorville,CA,California,San Bernardino County,92395,34.48,-117.29,52.26,NA,924,No Different Than the NAtioNAl Rate,12.5,NA,NA,6,6071,10037,1013,"Riverside-San Bernardino-Ontario, CA",40140,33.2,34.9,32.3,6897,3070,0.445,3827,0.555,1986,0.518,1437,0.375,0,0,203,0.053,3062,0.444,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
382,05C0001375,1477572675,Wika Endoscopy Center,18056 Wika Road Suite D,Apple Valley,CA,California,San Bernardino County,92307,34.54,-117.27,NA,NA,85,No Different Than the NAtioNAl Rate,11.7,NA,NA,6,6071,9722,1006,"Riverside-San Bernardino-Ontario, CA",40140,36.5,32.5,41.3,1370,643,0.469,727,0.531,702,0.686,216,0.211,61,0.06,0,0,346,0.253,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
383,05C0001235,1356362552,High Desert Endoscopy,"18523 Corwin Road, Suite H2",Apple Valley,CA,California,San Bernardino County,92307,34.54,-117.26,14.58,NA,179,No Different Than the NAtioNAl Rate,11.6,NA,NA,6,6071,9726,2014,"Riverside-San Bernardino-Ontario, CA",40140,34.3,39.5,31.9,4040,1794,0.444,2246,0.556,2353,0.864,96,0.035,0,0,53,0.019,1318,0.326,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
384,05C0002075,1972923068,Truecare Surgery Center Llc,"4200 Chino Hills Parkway, Suite 805",Chino Hills,CA,California,San Bernardino County,91709,33.99,-117.71,NA,NA,NA,Number of Cases Too Small,NA,NA,NA,6,6071,107,1008,"Riverside-San Bernardino-Ontario, CA",40140,41.8,40.6,43.5,3062,1515,0.495,1547,0.505,1350,0.658,83,0.04,0,0,599,0.292,1011,0.33,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
385,05C0001022,1710945787,"Upland Outpatient Surgery Center, Inc",1330 San Bernardino Rd,Upland,CA,California,San Bernardino County,91786,34.1,-117.63,NA,NA,102,No Different Than the NAtioNAl Rate,11.6,NA,NA,6,6071,901,3000,"Riverside-San Bernardino-Ontario, CA",40140,35.6,41.2,35.2,1559,805,0.516,754,0.484,520,0.753,115,0.166,0,0,33,0.048,868,0.557,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
386,05C0001164,1497746747,Physicians Surgery Center,12567 Hesperia Road,Victorville,CA,California,San Bernardino County,92395,34.48,-117.29,87.5,NA,75,No Different Than the NAtioNAl Rate,12,88.92,NA,6,6071,10037,1013,"Riverside-San Bernardino-Ontario, CA",40140,33.2,34.9,32.3,6897,3070,0.445,3827,0.555,1986,0.518,1437,0.375,0,0,203,0.053,3062,0.444,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
387,05C0001289,1821141441,Mountain View Surgery Center & Med,10408 Industrial Circle,Redlands,CA,California,San Bernardino County,92374,34.06,-117.24,NA,NA,1155,No Different Than the NAtioNAl Rate,12.8,NA,NA,6,6071,7306,3000,"Riverside-San Bernardino-Ontario, CA",40140,30.8,30.9,30.7,3658,1690,0.462,1968,0.538,798,0.346,623,0.27,0,0,707,0.306,1351,0.369,2035210,1,Large-in a metro area with at least 1 million residents or more,0,2019
388,05C0001704,1215019625,Four Seasons Surgery Centers Of Ontario,1211 W  6Th  Street,Ontario,CA,California,San Berrdino County,91762,34.08,-117.67,NA,NA,62,No Different Than the NAtioNAl Rate,12.1,NA,NA,6,NA,1001,1005,"Riverside-San Bernardino-Ontario, CA",40140,30.9,30.7,31.4,2239,1130,0.505,1109,0.495,425,0.413,169,0.164,0,0,346,0.336,1210,0.54,NA,NA,NA,NA,2019
