"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote"
FORT WORTH ENDOSCOPY CENTER,45C0001180,1104883784,FORT WORTH,TX,76104,2019,94.87,,N/A,5,3248,No Different Than the National Rate,11.6,9.2,14.4,,N/A,5,N/A,5
VALLEY OUTPATIENT SURGICAL CENTER INC,03C0001044,1104894369,MESA,AZ,85201,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.34,
SOUTHFIELD ENDOSCOPY ASC LLC,23C0001046,1104899855,TROY,MI,48084,2019,N/A,5,N/A,5,1743,No Different Than the National Rate,11.2,8.6,14.7,,N/A,5,N/A,5
WESTSIDE MEDICAL CENTER INC,05C0001811,1104909068,LOS ANGELES,CA,90024,2019,N/A,5,N/A,5,114,No Different Than the National Rate,11.4,8.2,15.9,,N/A,5,N/A,5
PINECREST EYE CENTER INC,45C0001070,1104930411,MARSHALL,TX,75670,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
WEST LAKES SURGERY CENTER LLC,16C0001026,1104933696,CLIVE,IA,50325,2019,N/A,5,N/A,5,34,No Different Than the National Rate,11.9,8.4,16.7,,N/A,5,N/A,5
TARRANT COUNTY SURGERY CENTER LP,45C0001473,1104947357,ARLINGTON,TX,76015,2019,70.83,,N/A,5,1272,No Different Than the National Rate,13.2,10.1,17.4,,100.00,,N/A,5
TEHACHAPI SURGERY CENTER INC,05C0001466,1104969179,TEHACHAPI,CA,93561,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
EYE SURGERY CENTER OF AUGUSTA LLC,11C0001151,1104987957,AUGUSTA,GA,30909,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.06,
FOUR CORNERS AMBULATORY SURGERY CENTER LLC,32C0001101,1104990050,FARMINGTON,NM,87401,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,63.04,,0.81,
SURGERY CENTER OF FORT COLLINS LLC,06C0001025,1104993799,FORT COLLINS,CO,80525,2019,N/A,5,N/A,5,60,No Different Than the National Rate,12.2,8.5,17.2,,N/A,5,N/A,5
GREATER DAYTON SURGERY CENTER LLC,36C0001220,1104996768,DAYTON,OH,45420,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
AMERICAN EYE SURGERY CENTER INC,11C0001290,1104998558,ATHENS,GA,30605,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
ELLICOTT CITY AMBULATORY SURGERY CENTER LLLP,21C0001003,1114025608,ELLICOTT CITY,MD,21043,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
LAFAYETTE GENERAL ENDOSCOPY CENTER INC,19C0001041,1114035946,LAFAYETTE,LA,70503,2019,N/A,5,N/A,5,2472,No Different Than the National Rate,11.7,9.2,14.8,,N/A,5,N/A,5
AZUSA SURGERY CENTER LLC,05C0001792,1114043858,AZUSA,CA,91702,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,1
CROSSROADS SURGERY CENTER INC,24C0001058,1114057023,FARIBAULT,MN,55021,2019,N/A,5,95.24,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
CATARACT AND LASER CENTER WEST LLC,22C0001023,1114091501,WEST SPRINGFIELD,MA,01089,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.49,
CORAL RIDGE OUTPATIENT CENTER LLC,10C0001528,1114126596,OAKLAND PARK,FL,33334,2019,N/A,5,N/A,5,3056,No Different Than the National Rate,10.6,8.5,13.3,,N/A,5,N/A,5
MEMORIAL CARE SURGICAL CENTER AT ORANGE COAST LLC,05C0001923,1114168309,FOUNTAIN VALLEY,CA,92708,2019,N/A,5,N/A,5,666,No Different Than the National Rate,10.9,8.0,14.7,,N/A,5,N/A,5
SPRING HILL SURGERY CENTER LLC,44C0001186,1114260254,SPRING HILL,TN,37174,2019,N/A,1,100.00,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100.00,,N/A,5
PREMIER ASC LLC,44C0001139,1114291440,NASHVILLE,TN,37211,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
POINT OF ROCKS SURGERY CENTER LLC,21C0001568,1114302353,POINT OF ROCKS,MD,21777,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
MIAMI ASC LP,10C0001229,1114907920,MIAMI,FL,33134,2019,65.59,,N/A,5,413,No Different Than the National Rate,11.3,8.2,15.3,,N/A,5,N/A,5
BOISE ENDOSCOPY CENTER LLC,13C0001024,1114912102,BOISE,ID,83702,2019,N/A,5,N/A,5,1380,No Different Than the National Rate,12.8,9.6,16.7,,N/A,5,N/A,5
CAPITOL CITY SURGERY CENTER,05C0001635,1114921541,SACRAMENTO,CA,95815,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.37,
REDDING ENDOSCOPY CENTER,05C0001368,1114922192,REDDING,CA,96001,2019,N/A,5,N/A,5,4893,No Different Than the National Rate,11.3,9.3,13.7,,N/A,5,N/A,5
SURGICARE CENTER OF IDAHO LLC DBA HELLINGSTEAD EYE CENTER,13C0001014,1114923471,BOISE,ID,83706,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.13,
CARILION SURGERY CENTER NEW RIVER VALLEY LLC,49C0001035,1114924651,CHRISTIANSBURG,VA,24073,2019,N/A,5,N/A,5,122,No Different Than the National Rate,12.3,8.9,17.4,,N/A,5,N/A,5
ENDOSCOPY CENTER OF DAYTON,36C0001045,1114926714,BEAVERCREEK,OH,45440,2019,97.92,,N/A,5,1830,No Different Than the National Rate,13.0,10.1,16.7,,N/A,5,N/A,5
ENDOSCOPY CENTER OF DAYTON LTD,36C0001298,1114926714,BEAVERCREEK,OH,45440,2019,97.92,,N/A,5,1830,No Different Than the National Rate,13.0,10.1,16.7,,N/A,5,N/A,5
ESEC LLC,37C0001058,1114952025,OKLAHOMA CITY,OK,73116,2019,N/A,5,N/A,5,59,No Different Than the National Rate,11.8,8.3,16.3,,N/A,5,N/A,5
NORTH RICHLAND HILLS ENDOSCOPY CENTER LLC,45C0001438,1114952686,NORTH RICHLAND HILLS,TX,76180,2019,N/A,5,N/A,5,1032,No Different Than the National Rate,13.2,9.8,17.7,,N/A,5,N/A,5
ADVANCED ENDOSCOPY AND SURGICAL CENTER LLC,31C0001154,1114965803,EATONTOWN,NJ,07724,2019,87.50,,N/A,5,3080,No Different Than the National Rate,11.7,9.4,14.8,,N/A,5,N/A,5
CORAL SPRINGS AMBULATORY SURGERY CENTER LLC,10C0001318,1114976651,CORAL SPRINGS,FL,33071,2019,N/A,5,N/A,5,36,No Different Than the National Rate,11.9,8.6,16.7,,N/A,5,N/A,5
NEW PORT RICHEY SURGERY CENTER LTD,10C0001013,1114980166,TRINITY,FL,34655,2019,N/A,5,N/A,5,444,No Different Than the National Rate,13.3,9.9,18.0,,100.00,,N/A,5
BRANDON SURGICENTER LTD,10C0001136,1114980646,BRANDON,FL,33511,2019,41.27,,N/A,5,568,No Different Than the National Rate,12.8,9.6,17.1,,100.00,,9.62,
ALOHA SURGICAL CENTER LLC,12C0001009,1114985611,KAHULUI,HI,96732,2019,N/A,5,N/A,5,757,No Different Than the National Rate,12.7,9.6,17.1,,N/A,5,N/A,5
ENDOSCOPY CENTER AT REDBIRD SQUARE,45C0001255,1114996774,DALLAS,TX,75237,2019,N/A,5,N/A,5,1395,No Different Than the National Rate,11.8,8.8,15.6,,N/A,5,N/A,5
SURGERY CENTER CEDAR RAPIDS,16C0001016,1124022595,CEDAR RAPIDS,IA,52402,2019,N/A,5,N/A,5,965,No Different Than the National Rate,14.4,10.8,19.0,,N/A,5,N/A,5
LGH A GOLF ASTC LLC DBA GOLF SURGICAL CENTER,14C0001039,1124029384,DES PLAINES,IL,60016,2019,N/A,5,N/A,5,188,No Different Than the National Rate,11.9,8.6,16.6,,N/A,5,N/A,5
SAN FRANCISCO ENDOSCOPY CENTER LLC,05C0001627,1124031406,SAN FRANCISCO,CA,94118,2019,84.71,,N/A,5,3627,No Different Than the National Rate,10.7,8.5,13.5,,N/A,5,N/A,5
ANDERSEN EYE SURGERY CENTER LLC,23C0001073,1124071550,SAGINAW,MI,48604,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.13,
ADVANCE ENDOSCOPY CENTER LLC,08C0001012,1124075940,DOVER,DE,19904,2019,92.31,,N/A,5,854,No Different Than the National Rate,12.9,9.7,17.1,,N/A,5,N/A,5
NORTH GARLAND SURGERY CENTER LLP DBA BAYLOR SCOTT AND WHITE SURGICARE NORTH GARLAND,45C0001393,1124083076,GARLAND,TX,75044,2019,N/A,5,N/A,5,944,No Different Than the National Rate,12.9,9.7,17.4,,N/A,5,N/A,5
NORTHLAKE SURGICAL CENTER LP,11C0001101,1124083787,TUCKER,GA,30084,2019,79.37,,N/A,5,187,No Different Than the National Rate,12.4,8.9,17.3,,99.39,,0.30,
ST CLOUD SURGICAL CENTER,24C0001000,1124084843,ST CLOUD,MN,56303,2019,98.92,,N/A,5,129,No Different Than the National Rate,12.3,8.8,17.2,,99.66,,0.25,
MOORESVILLE ENDOSCOPY CENTER LLC,15C0001165,1124086863,MOORESVILLE,IN,46158,2019,N/A,5,N/A,5,1002,No Different Than the National Rate,12.2,9.0,16.2,,N/A,5,N/A,5
ROCKLEDGE FL ENDOSCOPY ASC LLC,10C0001444,1124092945,ROCKLEDGE,FL,32955,2019,N/A,5,N/A,5,3602,No Different Than the National Rate,11.2,9.0,14.0,,N/A,5,N/A,5
UROLOGY SURGERY CENTER OF SAVANNAH LLLP,11C0001237,1124093588,SAVANNAH,GA,31405,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
WESMARK AMBULATORY SURGERY CENTER,42C0001054,1124098512,SUMTER,SC,29150,2019,N/A,5,N/A,5,2547,No Different Than the National Rate,10.2,7.8,13.2,,N/A,5,N/A,5
BROOKSIDE SURGERY CENTER,23C0001033,1124125331,BATTLE CREEK,MI,49015,2019,N/A,5,N/A,5,56,No Different Than the National Rate,12.4,9.0,17.1,,N/A,5,N/A,5
MURDOCK AMBULATORY SURGERY CENTER LLC,10C0001474,1124125604,PORT CHARLOTTE,FL,33948,2019,N/A,5,N/A,5,2664,No Different Than the National Rate,12.1,9.6,15.0,,N/A,5,N/A,5
CENTRAL CONNECTICUT ENDOSCOPY CENTER,07C0001045,1124131636,PLAINVILLE,CT,06062,2019,98.96,,N/A,5,1580,No Different Than the National Rate,11.5,8.8,15.1,,N/A,5,N/A,5
GASTROENTEROLOGY ASSOCIATES INC,36C0001040,1124173596,CANTON,OH,44718,2019,N/A,5,N/A,5,1018,No Different Than the National Rate,14.0,10.5,18.6,,N/A,5,N/A,5
SOUTH TAMPA SURGERY CENTER LLC,10C0001403,1124186663,TAMPA,FL,33609,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
KHS AMBULATORY SURGICAL CENTER,31C0001253,1124261771,SEWELL,NJ,08080,2019,N/A,5,N/A,5,123,No Different Than the National Rate,12.4,9.0,17.3,,N/A,5,N/A,5
DIGESTIVE HEALTHCARE OF GEORGIA ENDOSCOPY CENTER MOUNTAINSIDE,11C0001329,1124277058,JASPER,GA,30143,2019,80.73,,N/A,5,1987,No Different Than the National Rate,11.6,9.0,14.8,,N/A,5,N/A,5
SURGICENTER OF EASTERN CAROLINA LLC DBA VIDANT SURGICENTER,34C0001000,1124285515,GREENVILLE,NC,27834,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,99.86,,0.34,
TREASURE COAST SURGICAL CENTER INC,10C0001524,1124296173,FORT PIERCE,FL,34947,2019,85.39,,N/A,5,1036,Worse Than the National Rate,15.9,12.1,20.7,,100.00,,N/A,5
MANHATTAN ENDOSCOPY CENTER LLC,33C0001119,1124324181,NEW YORK,NY,10017,2019,N/A,5,N/A,5,3670,No Different Than the National Rate,11.0,8.8,13.7,,N/A,5,N/A,5
ALLEGHENEY CLINIC DBA WEXFORD SURGERY CENTER,39C0001314,1124439450,WEXFORD,PA,15090,2019,87.95,,N/A,5,646,No Different Than the National Rate,12.3,9.1,16.8,,94.99,,0.00,
POOLE ENDOSCOPY CENTER LLC,21C0001191,1124443809,WESTMINSTER,MD,21157,2019,N/A,5,N/A,5,255,No Different Than the National Rate,11.9,8.6,16.5,,N/A,5,N/A,5
MEMORIAL HERMANN SURGERY CENTER PINECROFT,45C0001607,1124492541,THE WOODLANDS,TX,77380,2019,N/A,5,N/A,5,484,No Different Than the National Rate,11.1,8.2,15.0,,N/A,5,N/A,5
ENDOSCOPY CENTER OF INLAND EMPIRE LLC,05C0001617,1124498357,MURRIETA,CA,92562,2019,N/A,5,N/A,5,1260,No Different Than the National Rate,10.4,7.7,14.0,,N/A,5,N/A,5
MIDATLANTIC ENDOSCOPY LLC DBA MID ATLANTIC GASTROINTESTINAL CENTER III,39C0001145,1124559679,LANCASTER,PA,17601,2019,N/A,5,N/A,5,1610,No Different Than the National Rate,13.1,10.0,17.3,,N/A,5,N/A,5
PHYSICIANS SURGERY CENTER OF KNOXVILLE LLC,44C0001000,1134126097,KNOXVILLE,TN,37916,2019,37.04,,N/A,5,36,No Different Than the National Rate,11.8,8.3,16.4,,99.93,,0.00,
MORGANTON EYE PHYSICIANS PA,34C0001027,1134135213,MORGANTON,NC,28655,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,92.31,,0.59,
OCEAN SPRINGS SURGICAL AND ENDOSCOPY CENTER LLC,25C0001036,1134157225,OCEAN SPRINGS,MS,39564,2019,N/A,5,N/A,5,1521,No Different Than the National Rate,10.3,7.8,13.5,,N/A,5,N/A,5
JACKSONVILLE SURGERY CENTER LTD,10C0001041,1134182546,JACKSONVILLE,FL,32256,2019,64.58,,N/A,5,305,No Different Than the National Rate,12.1,8.8,16.2,,100.00,,0.14,
CORAL SPRINGS SURGICENTER LTD,10C0001187,1134182660,CORAL SPRINGS,FL,33071,2019,78.13,,N/A,5,118,No Different Than the National Rate,13.4,9.7,18.7,,100.00,,2.26,
TOPEKA SURGERY CENTER,17C0001061,1134183056,TOPEKA,KS,66614,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.14,
NORTH PALM BEACH COUNTY SURGERY CENTER LLC,10C0001173,1134183908,PALM BEACH GARDENS,FL,33410,2019,68.25,,N/A,5,326,No Different Than the National Rate,12.4,9.1,16.9,,100.00,,0.80,
THE ENDOSCOPY CENTER AT MERIDIAN,37C0001037,1134191331,OKLAHOMA CITY,OK,73120,2019,N/A,5,N/A,5,670,No Different Than the National Rate,11.7,8.7,15.7,,N/A,5,N/A,5
GROSSNICKLE EYE CENTER INC,15C0001018,1134259179,WARSAW,IN,46580,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.11,
NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,14C0001041,1134262868,LINCOLNWOOD,IL,60712,2019,N/A,5,N/A,5,155,No Different Than the National Rate,11.9,8.6,16.3,,N/A,5,N/A,5
SKYLINE AMBULATORY SURGERY CENTER,38C0001032,1134283005,SALEM,OR,97306,2019,98.96,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,99.39,,0.00,
METAIRIE LA ENDOSCOPY ASC LLC,19C0001071,1134300080,METAIRIE,LA,70006,2019,N/A,5,N/A,5,1647,No Different Than the National Rate,14.5,11.3,18.8,,N/A,5,N/A,5
MD SURGICAL SOLUTIONS LLC,05C0001845,1134327182,SHERMAN OAKS,CA,91403,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
METRO HEALTH ASC LLC DBA METRO HEALTH OAM SURGERY CENTER,23C0001111,1134363690,GRAND RAPIDS,MI,49503,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
SURGERY CENTER OF ZACHARY LLC,19C0001127,1134427297,ZACHARY,LA,70791,2019,N/A,5,N/A,5,41,No Different Than the National Rate,12.2,8.8,17.1,,N/A,5,N/A,5
CASTLE HILLS SURGICARE LLC,45C0001648,1134663677,CARROLLTON,TX,75010,2019,N/A,5,N/A,5,285,No Different Than the National Rate,12.1,8.7,16.6,,N/A,5,N/A,5
NHPE LLC DBA NEW HYDE PARK ENDOSCOPY,33C0001172,1134665193,NEW HYDE PARK,NY,11042,2019,77.01,,N/A,5,223,No Different Than the National Rate,12.8,9.4,17.6,,N/A,5,N/A,5
PERFORMANCE HEALTH SURGERY CENTER,10C0001653,1134684814,FORT MYERS,FL,33912,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
ABILENE ENDOSCOPY CENTER,45C0001181,1144200163,ABILENE,TX,79601,2019,N/A,5,N/A,5,1944,No Different Than the National Rate,12.5,9.9,16.1,,N/A,5,N/A,5
MOBERLY SURGERY CENTER LLC,26C0001102,1144206665,MOBERLY,MO,65270,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
RIVERPARK AMBULATORY SURGERY CENTER,19C0001091,1144216847,VIDALIA,LA,71373,2019,9.78,,N/A,5,1251,No Different Than the National Rate,12.2,9.3,16.2,,100.00,,0.45,
HSC SURGICAL ASSOCIATES OF CINCINNATI LLC,36C0001038,1144219908,CINCINNATI,OH,45219,2019,98.96,,N/A,5,2001,No Different Than the National Rate,11.6,9.0,15.0,,N/A,5,N/A,5
PARVIEW INVERNESS SURGERY CENTER,15C0001147,1144275629,FORT WAYNE,IN,46804,2019,N/A,5,N/A,5,323,No Different Than the National Rate,11.5,8.4,15.9,,N/A,5,N/A,5
MT LAUREL ENDOSCOPY CENTER LP,31C0001176,1144275900,MOUNT LAUREL,NJ,08054,2019,79.58,,N/A,5,600,No Different Than the National Rate,12.5,9.1,17.0,,N/A,5,N/A,5
NORTH MIAMI BEACH SURGERY CENTER LIMITED PARTNERSHIP,10C0001357,1144283003,NORTH MIAMI BEACH,FL,33162,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,2.04,
LAFAYETTE SURGERY CENTER LIMITED PARTNERSHIP,19C0001089,1144283292,LAFAYETTE,LA,70508,2019,N/A,5,N/A,5,244,No Different Than the National Rate,11.9,8.6,16.6,,N/A,5,N/A,5
SKY RIDGE SURGERY CENTER LP,06C0001084,1144283649,LONE TREE,CO,80124,2019,N/A,5,N/A,5,80,No Different Than the National Rate,11.7,8.3,16.1,,100.00,,0.78,
NORTH SHORE CATARACT AND LASER CENTER LLC,22C0001037,1144287350,STONEHAM,MA,02180,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.27,
CHANNEL ISLANDS SURGICENTER LP,05C0001229,1144287665,OXNARD,CA,93030,2019,N/A,5,N/A,5,1388,No Different Than the National Rate,13.9,10.7,18.0,,N/A,5,N/A,5
OCEAN SURGICAL PAVILION PC,31C0001036,1144291261,OAKHURST,NJ,07755,2019,N/A,5,N/A,5,2825,No Different Than the National Rate,14.4,11.6,18.0,,N/A,5,N/A,5
SUNCOAST ENDOSCOPY ASC LP,10C0001342,1144293309,INVERNESS,FL,34453,2019,N/A,5,N/A,5,2753,No Different Than the National Rate,12.1,9.7,15.0,,N/A,5,N/A,5
BOICE WILLIS CLINIC,34C0001147,1144317470,ROCKY MOUNT,NC,27804,2019,98.29,,N/A,5,1998,No Different Than the National Rate,12.5,9.6,16.2,,N/A,5,N/A,5
OLD MOULTRIE SURGICAL CENTER INC,10C0001317,1144326307,ST AUGUSTINE,FL,32086,2019,N/A,5,N/A,5,48,No Different Than the National Rate,11.8,8.4,16.4,,N/A,5,N/A,5
RESURGENS SURGERY CENTER LLC,11C0001049,1144331760,ATLANTA,GA,30342,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.84,,N/A,5
THIRD STREET SURGERY CENTER LP,05C0001330,1144370594,LOS ANGELES,CA,90013,2019,100.00,,98.71,,196,No Different Than the National Rate,11.7,8.4,16.3,,100.00,,0.96,
SURGERY CENTER OF ALLENTOWN LLC,39C0001238,1144380593,ALLENTOWN,PA,18104,2019,N/A,5,N/A,5,562,No Different Than the National Rate,10.8,7.9,14.6,,N/A,5,N/A,5
STARPOINT SURGERY CENTER STUDIO CITY LP,05C0001395,1144390725,STUDIO CITY,CA,91607,2019,N/A,5,N/A,5,67,No Different Than the National Rate,11.6,8.4,16.1,,N/A,5,N/A,5
SAN ANTONIO GASTROENTEROLOGY ENDOSCOPY CENTER NORTH,45C0001451,1144406927,SAN ANTONIO,TX,78258,2019,N/A,5,N/A,5,1519,No Different Than the National Rate,12.9,10.0,16.8,,N/A,5,N/A,5
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001239,1144416587,SPRINGBORO,OH,45066,2019,N/A,5,N/A,5,1319,No Different Than the National Rate,11.6,8.8,15.2,,N/A,5,N/A,5
CLARKSVILLE EYE SURGERY CENTER,44C0001170,1144482753,CLARKSVILLE,TN,37040,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.38,
HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,05C0001198,1144590332,LONG BEACH,CA,90806,2019,N/A,5,N/A,5,126,No Different Than the National Rate,12.3,8.8,17.0,,N/A,5,N/A,5
SOUTH LOOP ENDOSCOPY AND WELLNESS CENTER LLC,14C0001156,1144593369,CHICAGO,IL,60616,2019,N/A,1,N/A,5,236,No Different Than the National Rate,12.5,9.1,17.1,,N/A,5,N/A,5
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,2019,73.96,,N/A,5,361,No Different Than the National Rate,13.1,9.5,18.0,,100.00,,N/A,5
SANSUM CLINIC DBA FOOTHILL SURGERY CENTER AT SANSUM CLINIC,05C0002055,1144648015,SANTA BARBARA,CA,93110,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
MALLARD CREEK SURGERY CENTER,34C0001191,1144652330,CHARLOTTE,NC,28262,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
ENDOSCOPY CENTER OF WASHINGTON DC LP,09C0001002,1154301240,WASHINGTON,DC,20006,2019,N/A,5,N/A,5,1234,No Different Than the National Rate,11.4,8.4,15.3,,N/A,5,N/A,5
NORTH PLATTE SURGERY CENTER LLC,28C0001032,1154316339,NORTH PLATTE,NE,69101,2019,N/A,5,N/A,5,738,No Different Than the National Rate,13.2,9.8,17.5,,N/A,5,N/A,5
THE EVERETT CLINIC,50C0001146,1154318103,EVERETT,WA,98201,2019,100.00,,N/A,5,2447,No Different Than the National Rate,10.9,8.3,14.1,,98.92,,0.44,
LAHAYE CENTER FOR ADVANCED EYE CARE OF LAFAYETTE INC,19C0001052,1154318376,LAFAYETTE,LA,70508,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.97,
SOUTHWEST SURGICAL SUITES,15C0001121,1154322410,FORT WAYNE,IN,46804,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
TEXOMA OUTPATIENT SURGERY CENTER INC,45C0001176,1154322600,WICHITA FALLS,TX,76301,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.40,
CENTRAL VIRGINIA SURGI CENTER LP DBA SURGI CENTER OF CENTRAL VIRGINIA,49C0001009,1154323988,FREDERICKSBURG,VA,22401,2019,90.48,,N/A,5,2520,No Different Than the National Rate,12.9,10.2,16.4,,99.68,,0.05,
SCOTTSDALE SURGICAL PARTNERS LLC,03C0001285,1154326650,SCOTTSDALE,AZ,85260,2019,N/A,5,N/A,5,1943,No Different Than the National Rate,12.2,9.3,15.8,,N/A,5,N/A,5
LOS PALOS AMBULATORY ENDOSCOPY CENTER,05C0001397,1154328243,SALINAS,CA,93901,2019,N/A,5,N/A,5,1880,No Different Than the National Rate,14.6,11.3,18.8,,N/A,5,N/A,5
GULF SOUTH SURGERY CENTER LLC,25C0001001,1154360501,GULFPORT,MS,39501,2019,100.00,,N/A,5,1148,No Different Than the National Rate,12.7,9.7,16.8,,100.00,,1.60,
CHRISTUS SANTA ROSA PHYSICIANS AMBULATORY SURGERY CENTER IV,45C0001402,1154369114,SAN ANTONIO,TX,78258,2019,63.07,,N/A,5,215,No Different Than the National Rate,11.9,8.7,16.4,,100.00,,1.42,
WARNER PARK SURGERY CENTER LLC DBA CENTER FOR ADVANCE SURGERY,03C0001052,1154387710,GILBERT,AZ,85297,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
ST LOUIS WOMENS SURGERY CENTER LLC,26C0001079,1154400471,BALLWIN,MO,63011,2019,49.67,,N/A,5,65,No Different Than the National Rate,11.8,8.4,16.5,,100.00,,N/A,5
BRUNSWICK PAIN TREATMENT CENTER LLC,11C0001249,1154422541,BRUNSWICK,GA,31525,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
SURGICAL SERVICES PC,44C0001033,1154433886,SWEETWATER,TN,37874,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
GASTROENTEROLOGY ASSOCIATES PA,34C0001119,1154442630,HICKORY,NC,28601,2019,84.55,,N/A,5,2787,No Different Than the National Rate,11.1,8.6,14.2,,N/A,5,N/A,5
AUGUSTA EYE SURGERY LLC,11C0001311,1154449643,AUGUSTA,GA,30907,2019,N/A,5,97.91,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.30,
VIRGINIA MASON MEDICAL CENTER,50C0001207,1154460525,LYNNWOOD,WA,98036,2019,96.72,,N/A,5,751,No Different Than the National Rate,12.1,9.0,16.4,,N/A,5,N/A,5
TREASURE COAST SURGERY CENTER LLC DBA TREASURE COAST CENTER FOR SURGERY,10C0001264,1154504728,STUART,FL,34994,2019,N/A,5,N/A,5,522,No Different Than the National Rate,12.4,9.2,16.8,,N/A,5,N/A,5
KERRVILLE AMBULATORY SURGERY CENTER LLC,45C0001475,1154526044,KERRVILLE,TX,78028,2019,N/A,5,N/A,5,1166,No Different Than the National Rate,13.5,10.4,17.9,,N/A,5,N/A,5
COLLIER ENDOSCOPY AND SURGERY CENTER,10C0001352,1154538544,NAPLES,FL,34109,2019,N/A,5,N/A,5,621,No Different Than the National Rate,12.7,9.5,16.9,,N/A,5,N/A,5
GEORGIA RETINA SURGERY CENTER LLC,11C0001339,1154555472,ATLANTA,GA,30342,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
UNITY SURGICAL CENTER LLC,15C0001108,1154590271,LAFAYETTE,IN,47905,2019,100.00,,N/A,5,1658,No Different Than the National Rate,11.3,8.7,14.8,,100.00,,0.15,
